Timestamp_ms,Voltage_mV,Current_mA,Power_mW
32933,732.50,2800.00,2300.00
33034,797.50,2888.75,2270.00
33135,838.75,2540.00,2120.00
33236,846.25,2782.50,2600.00
33337,916.25,2930.00,2880.00
33438,965.00,2822.50,2660.00
33539,961.25,2750.00,2650.00
33640,950.00,3022.50,4010.00
33741,1106.25,2942.50,5310.00
33842,1665.00,2853.75,4940.00
33943,2060.00,2888.75,5950.00
34044,1946.25,2910.00,6230.00
34145,2168.75,2998.75,5680.00
34246,2022.50,2888.75,6020.00
34347,1570.00,2890.00,4530.00
34448,1743.75,2798.75,2800.00
34549,1203.75,2806.25,2020.00
34650,741.25,2918.75,2200.00
34751,725.00,2983.75,2160.00
34852,730.00,2846.25,2370.00
34953,803.75,2823.75,2550.00
35054,887.50,2853.75,2600.00
35155,913.75,2897.50,2650.00
35256,907.50,2821.25,2680.00
35357,951.25,2915.00,2930.00
35458,993.75,2788.75,2740.00
35559,1262.50,2706.25,3420.00
35660,1095.00,2831.25,5110.00
35761,1635.00,2957.50,6270.00
35862,2027.50,2913.75,5730.00
35963,2188.75,2928.75,6410.00
36064,2157.50,2755.00,5240.00
36165,2057.50,2906.25,4030.00
36266,1607.50,2886.25,4720.00
36367,963.75,3037.50,2930.00
36468,1177.50,2802.50,1920.00
36569,753.75,2780.00,2070.00
36670,751.25,2697.50,2110.00
36771,797.50,2923.75,2330.00
36872,782.50,2762.50,2370.00
36973,832.50,2951.25,2660.00
37074,898.75,2945.00,2730.00
37175,950.00,2850.00,2710.00
37276,932.50,2918.75,2960.00
37377,972.50,2990.00,4350.00
37478,1252.50,2892.50,3790.00
37579,1775.00,2773.75,4930.00
37680,1630.00,2847.50,6050.00
37781,2062.50,2748.75,5860.00
37882,2183.75,2792.50,6140.00
37983,1893.75,2830.00,5360.00
38084,2077.50,2873.75,4170.00
38185,1592.50,2947.50,2390.00
38286,965.00,2943.75,2870.00
38387,690.00,2795.00,1930.00
38488,730.00,2970.00,2160.00
38589,730.00,2968.75,2420.00
38690,783.75,2926.25,2300.00
38791,882.50,2918.75,2570.00
38892,816.25,2925.00,2740.00
38993,893.75,2885.00,2760.00
39094,952.50,2766.25,2790.00
39195,992.50,2872.50,2850.00
39296,971.25,2843.75,4070.00
39397,1253.75,2937.50,5660.00
39498,1787.50,2950.00,5470.00
39599,2101.25,2820.00,5930.00
39700,2016.25,2698.75,5620.00
39801,2121.25,2953.75,5000.00
39902,1852.50,2875.00,5400.00
40003,1355.00,2955.00,4010.00
40104,1580.00,2736.25,2270.00
40205,955.00,2802.50,2000.00
40306,695.00,2822.50,1890.00
40407,752.50,2696.25,2040.00
40508,733.75,2825.00,2240.00
40609,803.75,2808.75,2560.00
40710,873.75,2721.25,2470.00
40811,932.50,2843.75,2650.00
40912,890.00,2826.25,2700.00
41013,936.25,2800.00,3160.00
41114,1015.00,2921.25,2880.00
41215,1568.75,3000.00,4710.00
41316,1312.50,2936.25,5770.00
41417,1800.00,2872.50,6170.00
41518,2103.75,2787.50,6000.00
41619,2105.00,2902.50,6110.00
41720,2151.25,2758.75,4530.00
41821,1810.00,2862.50,2960.00
41922,1295.00,2827.50,3750.00
42023,770.00,2988.75,2300.00
42124,886.25,2897.50,2020.00
42225,680.00,2927.50,2290.00
42326,753.75,2718.75,2150.00
42427,843.75,2716.25,2290.00
42528,775.00,2920.00,2620.00
42629,860.00,2725.00,2610.00
42730,931.25,2875.00,2790.00
42831,938.75,2910.00,2730.00
42932,952.50,2767.50,3240.00
43033,813.75,1387.50,2150.00
43134,1397.50,1390.00,2000.00
43235,1848.75,1461.25,2700.00
43336,1738.75,1540.00,3060.00
43437,1993.75,1470.00,2570.00
43538,1907.50,1738.75,3320.00
43639,1441.25,1800.00,2600.00
43740,1625.00,1738.75,1550.00
43841,1063.75,1823.75,1000.00
43942,591.25,2162.50,1190.00
44043,612.50,2128.75,1310.00
44144,597.50,2125.00,1420.00
44245,681.25,1911.25,1470.00
44346,765.00,2028.75,1420.00
44447,825.00,2212.50,1830.00
44548,805.00,2107.50,1870.00
44649,833.75,2318.75,2140.00
44750,916.25,1941.25,1870.00
44851,1248.75,2266.25,2830.00
44952,1018.75,2293.75,3890.00
45053,1583.75,2155.00,4350.00
45154,1957.50,2228.75,4160.00
45255,1980.00,2262.50,4480.00
45356,2022.50,2277.50,3890.00
45457,1848.75,2221.25,2640.00
45558,1447.50,2240.00,3160.00
45659,858.75,2027.50,1740.00
45760,1027.50,2303.75,1380.00
45861,645.00,1965.00,1400.00
45962,640.00,2425.00,1450.00
46063,740.00,1986.25,1470.00
46164,687.50,2353.75,1880.00
46265,773.75,2152.50,1870.00
46366,822.50,2207.50,1980.00
46467,882.50,2053.75,1820.00
46568,877.50,2225.00,2140.00
46669,910.00,2222.50,3280.00
46770,1308.75,1967.50,2660.00
46871,1765.00,2291.25,4040.00
46972,1638.75,2073.75,4310.00
47073,2031.25,2152.50,4350.00
47174,2048.75,2228.75,4800.00
47275,1703.75,2268.75,3870.00
47376,1922.50,2122.50,2530.00
47477,1440.00,1978.75,1460.00
47578,845.00,2110.00,1680.00
47679,633.75,2043.75,1290.00
47780,636.25,2162.50,1500.00
47881,640.00,2201.25,1660.00
47982,703.75,2191.25,1600.00
48083,811.25,2025.00,1640.00
48184,728.75,2265.00,1960.00
48285,837.50,2066.25,1890.00
48386,877.50,2308.75,2000.00
48487,945.00,2171.25,2050.00
48588,905.00,1862.50,2780.00
48689,1315.00,1988.75,3880.00
48790,1788.75,2236.25,3660.00
48891,2062.50,2257.50,4660.00
48992,2040.00,2088.75,4280.00
49093,2100.00,2001.25,3190.00
49194,1723.75,2257.50,3620.00
49295,1198.75,2278.75,2730.00
49396,1433.75,2060.00,1420.00
49497,827.50,2122.50,1400.00
49598,640.00,2173.75,1320.00
49699,656.25,2250.00,1470.00
49800,665.00,2278.75,1700.00
49901,748.75,2050.00,1700.00
50002,775.00,2277.50,1740.00
50103,838.75,2438.75,2050.00
50204,831.25,2181.25,2000.00
50305,883.75,2008.75,2210.00
50406,973.75,2175.00,1970.00
50507,1462.50,2333.75,3420.00
50608,1270.00,1935.00,3710.00
50709,1778.75,2060.00,4290.00
50810,2043.75,2255.00,4520.00
50911,2021.25,2187.50,4420.00
51012,2072.50,2113.75,3340.00
51113,1770.00,2281.25,2280.00
51214,1276.25,2233.75,2620.00
51315,707.50,2118.75,1500.00
51416,911.25,2187.50,1420.00
51517,635.00,2123.75,1460.00
51618,678.75,2031.25,1470.00
51719,745.00,2301.25,1720.00
51820,733.75,2095.00,1730.00
51921,772.50,2203.75,1910.00
52022,833.75,2178.75,1880.00
52123,887.50,2273.75,2020.00
52224,862.50,2268.75,2270.00
52325,926.25,2228.75,3470.00
52426,1371.25,2320.00,3000.00
52527,1855.00,2141.25,3970.00
52628,1701.25,2121.25,4440.00
52729,2048.75,1946.25,3870.00
52830,2056.25,2242.50,4720.00
52931,1666.25,2091.25,3480.00
53032,1827.50,2158.75,2420.00
53133,1352.50,2145.00,1420.00
53234,806.25,1972.50,1630.00
53335,616.25,2015.00,1240.00
53436,627.50,2166.25,1460.00
53537,608.75,2291.25,1610.00
53638,690.00,2268.75,1600.00
53739,780.00,2063.75,1610.00
53840,737.50,2071.25,1730.00
53941,818.75,2047.50,1830.00
54042,860.00,2041.25,1780.00
54143,921.25,1981.25,1830.00
54244,882.50,2223.75,3250.00
54345,1227.50,2083.75,3980.00
54446,1721.25,1946.25,3600.00
54547,2050.00,2046.25,4200.00
54648,1965.00,2066.25,4210.00
54749,2062.50,2253.75,3560.00
54850,1751.25,2428.75,3960.00
54951,1196.25,2413.75,2890.00
55052,1457.50,2123.75,1560.00
55153,880.00,1987.50,1240.00
55254,593.75,2293.75,1250.00
55355,641.25,2278.75,1460.00
55456,612.50,2020.00,1420.00
55557,703.75,2095.00,1630.00
55658,740.00,2285.00,1640.00
55759,797.50,2280.00,1820.00
55860,802.50,2150.00,1870.00
55961,825.00,1977.50,1830.00
56062,803.75,467.50,1830.00
56163,1023.75,520.00,540.00
56264,821.25,513.75,780.00
56365,1387.50,613.75,1100.00
56466,1771.25,590.00,1240.00
56567,1825.00,811.25,1480.00
56668,1862.50,745.00,1100.00
56769,1678.75,790.00,760.00
56870,1195.00,1036.25,1220.00
56971,632.50,1128.75,720.00
57072,797.50,927.50,410.00
57173,467.50,1365.00,700.00
57274,510.00,1071.25,580.00
57375,603.75,1450.00,870.00
57476,700.00,1456.25,1150.00
57577,776.25,1447.50,1220.00
57678,845.00,1488.75,1250.00
57779,902.50,1476.25,1330.00
57880,863.75,1442.50,1380.00
57981,960.00,1678.75,2550.00
58082,1255.00,1225.00,1560.00
58183,1692.50,715.00,1220.00
58284,1571.25,1086.25,2210.00
58385,1972.50,1093.75,2190.00
58486,2057.50,1031.25,2050.00
58587,1762.50,1082.50,1910.00
58688,2021.25,1607.50,2120.00
58789,1522.50,1651.25,1290.00
58890,846.25,892.50,860.00
58991,566.25,997.50,560.00
59092,620.00,941.25,590.00
59193,653.75,1103.75,790.00
59294,742.50,1171.25,1080.00
59395,803.75,1485.00,1190.00
59496,757.50,1505.00,1320.00
59597,848.75,1485.00,1360.00
59698,908.75,1502.50,1360.00
59799,927.50,1438.75,1330.00
59900,943.75,1493.75,2180.00
60001,1222.50,1526.25,1830.00
60102,1756.25,1500.00,2640.00
60203,2098.75,1510.00,3170.00
60304,2026.25,1501.25,3060.00
60405,2097.50,1498.75,3190.00
60506,1816.25,1495.00,2740.00
60607,1301.25,1503.75,1960.00
60708,1542.50,1716.25,1370.00
60809,901.25,1497.50,1360.00
60910,637.50,1425.00,920.00
61011,722.50,1526.25,1100.00
61112,687.50,1435.00,1130.00
61213,757.50,1435.00,1100.00
61314,821.25,1452.50,1220.00
61415,881.25,1503.75,1330.00
61516,878.75,1507.50,1420.00
61617,931.25,1503.75,1380.00
61718,1008.75,1505.00,1510.00
61819,1508.75,1491.25,2250.00
61920,1310.00,1503.75,2960.00
62021,1815.00,1517.50,2760.00
62122,2131.25,1525.00,3190.00
62223,2063.75,1527.50,3150.00
62324,2125.00,1505.00,2430.00
62425,1786.25,1457.50,2680.00
62526,1240.00,1493.75,1870.00
62627,727.50,1496.25,1090.00
62728,877.50,1438.75,950.00
62829,646.25,1502.50,990.00
62930,717.50,1522.50,1090.00
63031,787.50,1497.50,1180.00
63132,766.25,1518.75,1280.00
63233,826.25,1511.25,1240.00
63334,863.75,1515.00,1310.00
63435,896.25,1495.00,1340.00
63536,890.00,1506.25,1720.00
63637,947.50,1510.00,1420.00
63738,1430.00,1487.50,2150.00
63839,1938.75,1528.75,2970.00
63940,1825.00,1492.50,3120.00
64041,2093.75,1512.50,3190.00
64142,1852.50,1532.50,2750.00
64243,1377.50,1530.00,2110.00
64344,2651.25,-3.75,10.00
64445,1923.75,-2.50,10.00
64546,1402.50,-3.75,0.00
64647,1347.50,-3.75,0.00
64748,1342.50,-3.75,0.00
64849,1348.75,-2.50,0.00
64950,1371.25,-2.50,0.00
65051,1398.75,-2.50,0.00
65152,1393.75,-3.75,0.00
65253,1405.00,-5.00,0.00
65354,1432.50,-3.75,0.00
65455,1756.25,571.25,1000.00
65556,1546.25,356.25,820.00
65657,2133.75,-13.75,40.00
65758,2591.25,-3.75,0.00
65859,2720.00,-2.50,10.00
65960,2786.25,1075.00,2730.00
66061,2622.50,377.50,1000.00
66162,2192.50,-2.50,0.00
66263,1595.00,-2.50,0.00
66364,1777.50,-5.00,10.00
66465,1351.25,-2.50,0.00
66566,1338.75,-1.25,0.00
66667,1353.75,-2.50,0.00
