time_us,steer_ms,throttle_ms,speed_mps,setpoint_mps,error,kalman0,kalman1,kalman2,kalman3
10620119,1500,1500,19.9935,10.0000,-3.7497,0.0000,0.0000,0.0000,0.0000
10626880,1500,1500,20.0938,10.0000,-3.8859,0.0000,0.0000,0.0000,0.0000
10633876,1500,1500,19.4424,10.0000,-4.0220,0.0000,0.0000,0.0000,0.0000
10640798,1500,1500,19.6699,10.0000,-4.1581,0.0000,0.0000,0.0000,0.0000
10647939,1500,1500,19.0586,10.0000,-4.2943,0.0000,0.0000,0.0000,0.0000
10655081,1500,1500,19.0640,10.0000,-4.4304,0.0000,0.0000,0.0000,0.0000
10662334,1500,1500,18.7670,10.0000,-4.5665,0.0000,0.0000,0.0000,0.0000
10669593,1500,1500,18.7541,10.0000,-4.7027,0.0000,0.0000,0.0000,0.0000
10677133,1500,1500,18.0599,10.0000,-4.8388,0.0000,0.0000,0.0000,0.0000
10684540,1500,1500,18.3744,10.0000,-4.9749,0.0000,0.0000,0.0000,0.0000
10692247,1500,1500,17.6662,10.0000,-5.1111,0.0000,0.0000,0.0000,0.0000
10699850,1500,1500,17.9102,10.0000,-5.2472,0.0000,0.0000,0.0000,0.0000
10707884,1500,1500,17.2520,10.0000,-5.3833,0.0000,0.0000,0.0000,0.0000
10715564,1500,1500,17.4578,10.0000,-5.5195,0.0000,0.0000,0.0000,0.0000
10723666,1500,1500,16.7634,10.0000,-5.6556,0.0000,0.0000,0.0000,0.0000
10731681,1500,1500,16.9682,10.0000,-5.7918,0.0000,0.0000,0.0000,0.0000
10740011,1500,1500,16.3428,10.0000,-5.9279,0.0000,0.0000,0.0000,0.0000
10748300,1500,1500,16.4256,10.0000,-6.0640,0.0000,0.0000,0.0000,0.0000
10756830,1500,1500,15.9859,10.0000,-6.2002,0.0000,0.0000,0.0000,0.0000
10765330,1500,1500,15.9915,10.0000,-6.3363,0.0000,0.0000,0.0000,0.0000
10774226,1500,1500,15.3047,10.0000,-6.4724,0.0000,0.0000,0.0000,0.0000
10782983,1500,1500,15.5406,10.0000,-6.6086,0.0000,0.0000,0.0000,0.0000
10792175,1500,1500,14.8102,10.0000,-6.7447,0.0000,0.0000,0.0000,0.0000
10801235,1500,1500,15.0260,10.0000,-6.8808,0.0000,0.0000,0.0000,0.0000
10810771,1500,1500,14.4902,10.0000,-7.0170,0.0000,0.0000,0.0000,0.0000
10820122,1500,1500,14.3876,10.0000,-7.1531,0.0000,0.0000,0.0000,0.0000
10830030,1500,1500,13.7068,10.0000,-7.2892,0.0000,0.0000,0.0000,0.0000
10839791,1500,1500,13.9398,10.0000,-7.4254,0.0000,0.0000,0.0000,0.0000
10849999,1500,1500,13.3388,10.0000,-7.5615,0.0000,0.0000,0.0000,0.0000
10860101,1500,1500,13.4708,10.0000,-7.6976,0.0000,0.0000,0.0000,0.0000
10870649,1500,1500,12.9075,10.0000,-7.8338,0.0000,0.0000,0.0000,0.0000
10881209,1500,1500,12.8904,10.0000,-7.9699,0.0000,0.0000,0.0000,0.0000
10892365,1500,1500,12.2029,10.0000,-8.1061,0.0000,0.0000,0.0000,0.0000
10903688,1500,1500,12.3434,10.0000,-8.2422,0.0000,0.0000,0.0000,0.0000
10914976,1500,1500,11.8875,10.0000,-8.3783,0.0000,0.0000,0.0000,0.0000
10926275,1500,1500,11.9334,10.0000,-8.5145,0.0000,0.0000,0.0000,0.0000
10938198,1500,1500,11.4036,10.0000,-8.6506,0.0000,0.0000,0.0000,0.0000
10950268,1500,1500,11.2751,10.0000,-8.7867,0.0000,0.0000,0.0000,0.0000
10962940,1500,1500,10.7422,10.0000,-8.9229,0.0000,0.0000,0.0000,0.0000
10975542,1500,1500,10.8027,10.0000,-9.0590,0.0000,0.0000,0.0000,0.0000
10988846,1500,1500,10.2327,10.0000,-9.1951,0.0000,0.0000,0.0000,0.0000
11001991,1500,1500,10.3715,10.0000,-9.3313,0.0000,0.0000,0.0000,0.0000
11015957,1500,1500,9.8350,10.0000,-9.4674,0.0000,0.0000,0.0000,0.0000
11030062,1500,1500,9.5702,10.0000,-9.6035,0.0000,0.0000,0.0000,0.0000
11045093,1500,1500,9.0474,10.0000,-9.7397,0.0000,0.0000,0.0000,0.0000
11059983,1500,1500,9.1385,10.0000,-9.8758,0.0000,0.0000,0.0000,0.0000
11075912,1500,1500,8.5469,10.0000,-10.0119,0.0000,0.0000,0.0000,0.0000
11091741,1500,1500,8.6004,10.0000,-10.1481,0.0000,0.0000,0.0000,0.0000
11109070,1500,1500,7.9232,10.0000,-10.2842,0.0000,0.0000,0.0000,0.0000
11126537,1500,1500,7.7376,10.0000,-10.4204,0.0000,0.0000,0.0000,0.0000
11145303,1500,1500,7.2482,10.0000,-10.5565,0.0000,0.0000,0.0000,0.0000
11164592,1500,1500,7.0566,10.0000,-10.6926,0.0000,0.0000,0.0000,0.0000
11185339,1500,1500,6.5617,10.0000,-10.8288,0.0000,0.0000,0.0000,0.0000
11206794,1500,1500,6.3857,10.0000,-10.9649,0.0000,0.0000,0.0000,0.0000
11230570,1500,1500,5.6975,10.0000,-11.1010,0.0000,0.0000,0.0000,0.0000
11255718,1500,1500,5.4142,10.0000,-11.2372,0.0000,0.0000,0.0000,0.0000
11283900,1500,1500,4.8278,10.0000,-11.3733,0.0000,0.0000,0.0000,0.0000
11314709,1500,1500,4.4384,10.0000,-11.5094,0.0000,0.0000,0.0000,0.0000
11349518,1500,1500,3.8971,10.0000,-11.6456,0.0000,0.0000,0.0000,0.0000
11390726,1500,1500,3.3023,10.0000,-11.7817,0.0000,0.0000,0.0000,0.0000
11447204,1500,1500,2.4163,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
11602950,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
11702961,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
11802973,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
11903004,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12003023,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12103058,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12203081,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12303106,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
